850
867
1624
1968
17 maart
2 mei
19 juni
8 juli
10 juli
13 november
24 december
...die Revolutie niet begrepen!...
10 (getal)
10 jaar Bassie & Adriaan
1984 (boek)
1990-maatregel
1e Legerkorps (Nederland)
50 Kamers
A hill tune
A la bonne heure
A Lovely Way to Die
A Tale of Two Cities (1935)
A. den Doolaard
A. Marja
A. Moonen
A.A. ten Oever
A.A.M. Stols
A.B. van Tienhoven
A.B.C.-straat (Utrecht)
A.C. Josephus Jitta
A.E. Thierens
A.F.Th. van der Heijden
A.G.D.
A.H. Nijhoff
A.J. Sanders
